dash_prob_group,num_sample,cat5_accuracy,cat5_Ia_tpr,cat5_Ia_fpr,cat5_Ia_purity,cat5_Ibc_tpr,cat5_Ibc_fpr,cat5_Ibc_purity,cat5_II_tpr,cat5_II_fpr,cat5_II_purity,cat5_SLSN_tpr,cat5_SLSN_fpr,cat5_SLSN_purity,cat5_NotSN_tpr,cat5_NotSN_fpr,cat5_NotSN_purity,cat2_accuracy,cat2_Ia_tpr,cat2_Ia_fpr,cat2_Ia_purity,cat2_NonIa_tpr,cat2_NonIa_fpr,cat2_NonIa_purity
0.2,268,0.3544776119402985,0.5436893203883495,0.1939393939393939,0.6363636363636364,0.7941176470588235,0.6025641025641025,0.1607142857142857,0.1025641025641025,0.0,1.0,,,,,,,0.7052238805970149,0.5436893203883495,0.1939393939393939,0.6363636363636364,0.806060606060606,0.4563106796116505,0.7388888888888889
0.3,249,0.4016064257028112,0.4594594594594595,0.1521739130434782,0.7083333333333334,0.8913043478260869,0.6009852216748769,0.2515337423312883,0.1081081081081081,0.0342857142857142,0.5714285714285714,,,,,,,0.6746987951807228,0.4594594594594595,0.1521739130434782,0.7083333333333334,0.8478260869565217,0.5405405405405406,0.6610169491525424
0.4,290,0.3758620689655172,0.4411764705882353,0.2662337662337662,0.594059405940594,0.7555555555555555,0.5265306122448979,0.2085889570552147,0.1578947368421052,0.0564102564102564,0.5769230769230769,,,,,,,0.596551724137931,0.4411764705882353,0.2662337662337662,0.594059405940594,0.7337662337662337,0.5588235294117647,0.5978835978835979
0.5,275,0.4254545454545455,0.484375,0.1632653061224489,0.7209302325581395,0.8478260869565217,0.5633187772925764,0.2321428571428571,0.1860465116279069,0.0264550264550264,0.7619047619047619,,,,,,,0.6727272727272727,0.484375,0.1632653061224489,0.7209302325581395,0.8367346938775511,0.515625,0.6507936507936508
0.6,282,0.425531914893617,0.4477611940298507,0.1891891891891892,0.6818181818181818,0.7916666666666666,0.5384615384615384,0.2317073170731707,0.2365591397849462,0.0423280423280423,0.7333333333333333,,,,,,,0.6382978723404256,0.4477611940298507,0.1891891891891892,0.6818181818181818,0.8108108108108109,0.5522388059701493,0.6185567010309279
0.7,308,0.461038961038961,0.5375,0.1959459459459459,0.7478260869565218,0.7142857142857143,0.5142857142857142,0.2631578947368421,0.1527777777777778,0.0466101694915254,0.5,,,,,,,0.6655844155844156,0.5375,0.1959459459459459,0.7478260869565218,0.8040540540540541,0.4625,0.616580310880829
0.8,413,0.5447941888619855,0.6068376068376068,0.2011173184357542,0.797752808988764,0.7794117647058824,0.408695652173913,0.2731958762886597,0.3061224489795918,0.0349206349206349,0.7317073170731707,,,,,,,0.6900726392251816,0.6068376068376068,0.2011173184357542,0.797752808988764,0.7988826815642458,0.3931623931623931,0.6085106382978723
0.9,114,0.5263157894736842,0.6567164179104478,0.2340425531914893,0.8,0.7058823529411765,0.4020618556701031,0.2352941176470588,0.1818181818181818,0.0434782608695652,0.5,,,,,,,0.7017543859649122,0.6567164179104478,0.2340425531914893,0.8,0.7659574468085106,0.3432835820895522,0.6101694915254238
0.92,135,0.6,0.6625,0.1454545454545454,0.8688524590163934,0.7727272727272727,0.3805309734513274,0.2833333333333333,0.3793103448275862,0.0283018867924528,0.7857142857142857,,,,,,,0.7407407407407407,0.6625,0.1454545454545454,0.8688524590163934,0.8545454545454545,0.3375,0.6351351351351351
0.94,151,0.609271523178808,0.6888888888888889,0.2295081967213114,0.8157894736842105,0.9444444444444444,0.3308270676691729,0.2786885245901639,0.325,0.009009009009009,0.9285714285714286,,,,,,,0.7218543046357616,0.6888888888888889,0.2295081967213114,0.8157894736842105,0.7704918032786885,0.3111111111111111,0.6266666666666667
0.96,252,0.6349206349206349,0.7346938775510204,0.1714285714285714,0.8571428571428571,0.925925925925926,0.2844444444444444,0.2808988764044944,0.3857142857142857,0.0549450549450549,0.7297297297297297,,,,,,,0.7738095238095238,0.7346938775510204,0.1714285714285714,0.8571428571428571,0.8285714285714286,0.2653061224489796,0.6904761904761905
0.98,193,0.6528497409326425,0.8018018018018018,0.2195121951219512,0.8317757009345794,0.8076923076923077,0.2754491017964072,0.3134328358208955,0.3265306122448979,0.0208333333333333,0.8421052631578947,,,,,,,0.7927461139896373,0.8018018018018018,0.2195121951219512,0.8317757009345794,0.7804878048780488,0.1981981981981982,0.7441860465116279
0.99,1058,0.8081285444234405,0.8897243107769424,0.2192307692307692,0.9256844850065188,0.81,0.1336116910229645,0.3875598086124402,0.4571428571428571,0.0196078431372549,0.7804878048780488,,,,,,,0.8629489603024575,0.8897243107769424,0.2192307692307692,0.9256844850065188,0.7807692307692308,0.1102756892230576,0.697594501718213
1.0,658,0.8966565349544073,0.9454887218045112,0.1825396825396825,0.9562737642585551,0.6666666666666666,0.0514469453376205,0.4285714285714285,0.75,0.0226480836236933,0.8289473684210527,,,,,,,0.9209726443768996,0.9454887218045112,0.1825396825396825,0.9562737642585551,0.8174603174603174,0.0545112781954887,0.7803030303030303
