ngsf_chi2dof_group,num_sample,cat5_accuracy,cat5_Ia_tpr,cat5_Ia_fpr,cat5_Ia_purity,cat5_Ibc_tpr,cat5_Ibc_fpr,cat5_Ibc_purity,cat5_II_tpr,cat5_II_fpr,cat5_II_purity,cat5_SLSN_tpr,cat5_SLSN_fpr,cat5_SLSN_purity,cat5_NotSN_tpr,cat5_NotSN_fpr,cat5_NotSN_purity,cat2_accuracy,cat2_Ia_tpr,cat2_Ia_fpr,cat2_Ia_purity,cat2_NonIa_tpr,cat2_NonIa_fpr,cat2_NonIa_purity
0.0,152.0,0.875,0.8939393939393939,0.023255813953488372,0.9672131147540983,0.6538461538461539,0.007936507936507936,0.9444444444444444,0.9491525423728814,0.15053763440860216,0.8,1.0,0.013245033112582781,0.3333333333333333,,0.0,,0.9407894736842105,0.8939393939393939,0.023255813953488372,0.9672131147540983,0.9767441860465116,0.10606060606060606,0.9230769230769231
0.5,298.0,0.8523489932885906,0.8829787234042553,0.0,1.0,0.64,0.0695970695970696,0.45714285714285713,0.9,0.10091743119266056,0.7659574468085106,,0.006711409395973154,0.0,0.0,0.0034129692832764505,0.0,0.9261744966442953,0.8829787234042553,0.0,1.0,1.0,0.11702127659574468,0.8333333333333334
0.75,471.0,0.8768577494692145,0.9548192771084337,0.050359712230215826,0.9783950617283951,0.6111111111111112,0.03117505995203837,0.717391304347826,0.7590361445783133,0.06701030927835051,0.7078651685393258,,0.021231422505307854,0.0,0.0,0.0042643923240938165,0.0,0.9532908704883227,0.9548192771084337,0.050359712230215826,0.9783950617283951,0.9496402877697842,0.045180722891566265,0.8979591836734694
1.0,582.0,0.8384879725085911,0.9146341463414634,0.10465116279069768,0.9541984732824428,0.675,0.04780876494023904,0.6923076923076923,0.7108433734939759,0.05811623246492986,0.6704545454545454,0.0,0.03103448275862069,0.0,0.0,0.008695652173913044,0.0,0.9089347079037801,0.9146341463414634,0.10465116279069768,0.9541984732824428,0.8953488372093024,0.08536585365853659,0.8148148148148148
1.25,561.0,0.8253119429590018,0.8959390862944162,0.10179640718562874,0.9540540540540541,0.71875,0.060362173038229376,0.6052631578947368,0.6702127659574468,0.047109207708779445,0.7411764705882353,0.0,0.03770197486535009,0.0,0.2,0.014388489208633094,0.1111111111111111,0.8966131907308378,0.8959390862944162,0.10179640718562874,0.9540540540540541,0.8982035928143712,0.10406091370558376,0.7853403141361257
1.5,501.0,0.7744510978043913,0.8347826086956521,0.07051282051282051,0.9632107023411371,0.7407407407407407,0.1029082774049217,0.46511627906976744,0.5934065934065934,0.046341463414634146,0.7397260273972602,0.6666666666666666,0.054878048780487805,0.18181818181818182,0.0,0.02004008016032064,0.0,0.8642714570858283,0.8347826086956521,0.07051282051282051,0.9632107023411371,0.9294871794871795,0.16521739130434782,0.7178217821782178
1.75,339.0,0.7050147492625368,0.8387096774193549,0.07377049180327869,0.9528795811518325,0.4883720930232558,0.09121621621621621,0.4375,0.5147058823529411,0.08118081180811808,0.6140350877192983,0.2,0.08083832335329341,0.03571428571428571,0.0,0.04504504504504504,0.0,0.8702064896755162,0.8387096774193549,0.07377049180327869,0.9528795811518325,0.9262295081967213,0.16129032258064516,0.7635135135135135
2.0,295.0,0.735593220338983,0.8135593220338984,0.09322033898305085,0.9290322580645162,0.6904761904761905,0.07905138339920949,0.5918367346938775,0.6323529411764706,0.07488986784140969,0.7166666666666667,0.3333333333333333,0.08561643835616438,0.038461538461538464,0.0,0.017241379310344827,0.0,0.8508474576271187,0.8135593220338984,0.09322033898305085,0.9290322580645162,0.9067796610169492,0.1864406779661017,0.7642857142857142
2.25,258.0,0.7015503875968992,0.8778625954198473,0.09448818897637795,0.905511811023622,0.5454545454545454,0.11555555555555555,0.4090909090909091,0.5180722891566265,0.06285714285714286,0.7962962962962963,0.4444444444444444,0.0963855421686747,0.14285714285714285,0.5,0.015625,0.2,0.8914728682170543,0.8778625954198473,0.09448818897637795,0.905511811023622,0.905511811023622,0.12213740458015267,0.8778625954198473
2.5,353.0,0.6487252124645893,0.7704918032786885,0.11176470588235295,0.88125,0.5789473684210527,0.08571428571428572,0.4489795918367347,0.45132743362831856,0.04583333333333333,0.8225806451612904,0.75,0.17302052785923755,0.1323529411764706,0.8571428571428571,0.023121387283236993,0.42857142857142855,0.8271954674220963,0.7704918032786885,0.11176470588235295,0.88125,0.888235294117647,0.22950819672131148,0.7823834196891192
3.0,212.0,0.6415094339622641,0.7383177570093458,0.0761904761904762,0.9080459770114943,0.5428571428571428,0.0847457627118644,0.5588235294117647,0.5344827586206896,0.09090909090909091,0.6888888888888889,0.5454545454545454,0.1791044776119403,0.14285714285714285,1.0,0.014218009478672985,0.25,0.8301886792452831,0.7383177570093458,0.0761904761904762,0.9080459770114943,0.9238095238095239,0.2616822429906542,0.776
3.5,174.0,0.603448275862069,0.7763157894736842,0.07142857142857142,0.8939393939393939,0.42857142857142855,0.136986301369863,0.375,0.4915254237288136,0.09565217391304348,0.725,0.4444444444444444,0.17575757575757575,0.12121212121212122,0.5,0.011627906976744186,0.3333333333333333,0.8620689655172413,0.7763157894736842,0.07142857142857142,0.8939393939393939,0.9285714285714286,0.2236842105263158,0.8425925925925926
4.0,118.0,0.5932203389830508,0.7115384615384616,0.07575757575757576,0.8809523809523809,0.4166666666666667,0.07547169811320754,0.38461538461538464,0.5121951219512195,0.1038961038961039,0.7241379310344828,0.7777777777777778,0.22935779816513763,0.21875,0.0,0.017543859649122806,0.0,0.8305084745762712,0.7115384615384616,0.07575757575757576,0.8809523809523809,0.9242424242424242,0.28846153846153844,0.8026315789473685
4.5,88.0,0.5568181818181818,0.7222222222222222,0.1346153846153846,0.7878787878787878,0.3888888888888889,0.04285714285714286,0.7,0.4074074074074074,0.16393442622950818,0.5238095238095238,0.8,0.20481927710843373,0.19047619047619047,0.5,0.023255813953488372,0.3333333333333333,0.8068181818181818,0.7222222222222222,0.1346153846153846,0.7878787878787878,0.8653846153846154,0.2777777777777778,0.8181818181818182
5.0,244.0,0.45491803278688525,0.5641025641025641,0.16535433070866143,0.7586206896551724,0.25,0.155,0.2619047619047619,0.43548387096774194,0.2032967032967033,0.421875,0.3125,0.16666666666666666,0.11627906976744186,0.4,0.02510460251046025,0.25,0.7049180327868853,0.5641025641025641,0.16535433070866143,0.7586206896551724,0.8346456692913385,0.4358974358974359,0.6751592356687898
